# BEAST v10.5.0
# Generated Thu Apr 09 12:59:51 CEST 2026 [seed=1775732390055]
# Binome_6.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	default.ucld.mean	default.ucld.stdev	location.clock.rate	default.meanRate	default.coefficientOfVariation	default.covariance	location.meanRate	location.rates.CHN.KHM	location.rates.CHN.LAO	location.rates.CHN.THA	location.rates.CHN.VNM	location.rates.KHM.LAO	location.rates.KHM.THA	location.rates.KHM.VNM	location.rates.LAO.THA	location.rates.LAO.VNM	location.rates.THA.VNM	location.indicators.CHN.KHM	location.indicators.CHN.LAO	location.indicators.CHN.THA	location.indicators.CHN.VNM	location.indicators.KHM.LAO	location.indicators.KHM.THA	location.indicators.KHM.VNM	location.indicators.LAO.THA	location.indicators.LAO.VNM	location.indicators.THA.VNM	location.nonZeroRates	default.treeLikelihood	default.branchRates	location.branchRates	location.treeLikelihood	coalescent
2200000	-112580.45166330163	-3953.3312499160766	-108627.12041338555	0.3535148635277406	2023.2081289720886	26.31649060239996	8.333224462093817	0.9681038847660124	0.2549627140655096	0.24978633398161976	0.24888906762712107	0.24636188432574985	0.7498290818151011	0.7441995187810357	0.042558016093026646	0.0313980839924728	1.4391949334169374	0.040108332536873154	0.6769538215623704	0.0824788701622298	1.4391949334169376	1.1288344453757464	0.013677952870981553	0.8628621196240688	0.9286606265965422	0.8790792117545813	0.39065039773607446	1.034095927985249	0.19656207341249474	0.777056629799115	2.1209675432224584	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7.0	-108341.72364114522	-3136.17843910797	0.0	-285.3967722403293	-761.2616161722923
2300000	-112582.39914608696	-3953.905671845044	-108628.49347424191	0.37200937624143116	2023.189634459375	27.320500167416306	8.587941533309925	0.9646729160678515	0.2544611987344574	0.24712181581088194	0.24315998826569563	0.2552569971889654	0.8946484217565444	0.9961395142778177	0.04234206214393321	0.031672596002553094	1.0992211397831126	0.04031102957582142	0.7074305177803413	0.04853865052335135	1.0992211397831126	0.447372178625332	0.025697686521645845	0.10305810997020348	0.8083031906519399	0.28720433621298025	1.5561091343097808	1.1506318390049879	0.5597919391275397	0.8945009215714467	1.3943302052876443	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	7.0	-108335.90518174127	-3136.17843910797	0.0	-292.5882925006447	-770.6030766209489
2400000	-112583.12198454596	-3939.040021619959	-108644.081962926	0.3552396628732771	2023.206404172743	25.406800210004114	6.929367296470812	0.9903676153731923	0.2546185656826977	0.24833859231038619	0.24855292109853885	0.24848992090837785	0.5631092971633238	0.2613617025447146	0.041439608125721346	0.03147902323858883	1.295450798376555	0.03822072651543621	0.7461060550148817	0.034697082698349146	1.2954507983765549	0.6689230654126308	0.36177590550244915	1.1346711481285423	1.322711244281024	1.1515158349906054	1.1127676705281428	0.9584456283325589	1.0820447741603743	0.7019798448340105	2.175356103115917	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	9.0	-108353.69357960792	-3136.17843910797	0.0	-290.38838331806653	-746.5140839100418
2500000	-112571.67353522724	-3911.403603447336	-108660.2699317799	0.3549834288653904	2023.206660406751	24.265178522928565	6.811455336278824	0.9412942950539078	0.25299781347954686	0.24872545474993496	0.2483199198734769	0.2499568118970418	0.5129951635118032	0.08547177254341445	0.04188092082045208	0.03376665489795296	1.1463175758247108	0.03846083541159251	0.7915192832088941	0.07620158021494138	1.1463175758247106	0.4693528931830997	1.5587286907661702	0.5835655838990206	0.6212255968103693	0.27042621841708797	0.20857041055539072	1.4507017392300126	0.33884836749567143	0.47794235204077123	1.473893371960554	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7.0	-108365.8254509435	-3136.17843910797	0.0	-294.4444808363854	-731.0952824301005
2600000	-112553.91015087986	-3923.9414606787227	-108629.96869020115	0.35717677284098726	2023.2044670627754	24.064529639261828	6.644595129538331	0.9860353016053885	0.2547403867957419	0.24969533831249985	0.24647971446585346	0.24908456042590532	0.5810754690827329	0.1754940268957255	0.04201018275546732	0.03437128566960494	1.4126741576875026	0.038958128254296	0.791838686420344	0.011056769379678009	1.4126741576875046	0.6042836284994796	1.7193886642410148	0.3799267806941324	0.9771159261394052	0.5944917303817142	0.9959609435487157	2.4722071193327952	0.517410563846903	0.33114367625261265	1.8558379359846502	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	-108344.3600644581	-3136.17843910797	0.0	-285.60862574304286	-730.4924754075575
2700000	-112567.39911297894	-3933.604144425006	-108633.79496855394	0.34963751010906857	2023.2120063255074	25.081854431256474	7.553268218444656	0.9858391644521943	0.2495958894750011	0.24695853679447732	0.24994186394008197	0.2535037097904401	0.5897978586198589	0.2763411689602366	0.04079227997971229	0.0322028389604711	1.1647934683881283	0.03735591514325428	0.7589281638052847	-0.03849971068325377	1.1647934683881287	0.6351854976662336	0.6872191878738012	1.3753936950769758	1.7880631859732365	1.4712588109068743	1.014865493533836	1.5797696770805476	0.831987523497014	0.9915600322251452	2.3792305345566644	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.0	-108343.35093750013	-3136.17843910797	0.0	-290.44403105380945	-744.6050704242789
2800000	-112571.16933210766	-3925.279917616249	-108645.88941449141	0.3442472900092439	2023.2173965456072	24.77470351875438	6.635085246463685	0.9548555169955611	0.2546920708564787	0.24579607011743232	0.24543116628670653	0.254080692739383	0.4946734306749747	0.06579136277627949	0.040005116564162675	0.031164176540447973	1.0759200684172663	0.03686301614798207	0.7220754032090326	-0.06459075338811672	1.0759200684172643	0.8404156169581987	1.8144544169426275	0.3165148924652559	1.1581905747094206	0.9087301977255942	0.54559855876537	1.7531317754201274	0.5411172486169369	0.9696434057086454	2.0653082483011604	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7.0	-108357.75118986676	-3136.17843910797	0.0	-288.1382246246531	-742.8384356540181
2900000	-112574.11834685817	-3944.0279021113133	-108630.09044474686	0.35250453755439454	2023.2091392980622	25.504546934471414	6.996490775886062	0.9879668012149586	0.2485714727738692	0.24857971532763884	0.25232485204316546	0.25052395985532677	0.6048049051065486	0.2548595745979817	0.04093288503007544	0.03377313655372467	1.1463388437280124	0.03772016044504978	0.7646955928850253	-0.12553312721623283	1.1463388437280124	1.133145117279817	2.2792934181591327	0.32295980356351217	0.8162044121810189	0.9433082935491343	0.7925157224538097	3.1450927363234844	0.35414214255799525	0.7159941639204733	2.7970334464361795	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	-108342.59415132427	-3136.17843910797	0.0	-287.49629342259743	-752.5297662121845
3000000	-112560.62540501416	-3924.949859573918	-108635.67554544024	0.33563454440060103	2023.2260092912159	24.531385175343136	7.777717943718317	1.022289740732509	0.25769577151891476	0.25138896659611776	0.240665251280303	0.2502500106046647	0.7201295245147208	0.656579812769036	0.04524975661651728	0.035940457184645565	1.122580844560104	0.041993796294901034	0.7285626494523716	-0.09356346201944891	1.1225808445601033	0.37369231930654623	1.820151029904557	1.1026806323355813	1.161850025506979	0.4541827906829575	0.4630300772996561	1.1654311155996726	0.2232223902587302	0.6538137949679822	1.2807658669746576	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7.0	-108345.8086683344	-3136.17843910797	0.0	-289.8668771058429	-742.9790286363759
3100000	-112564.85659559199	-3943.0547116291455	-108621.80188396285	0.34841477240525387	2023.2132290632112	24.79176039856847	6.534867268829098	0.9500005919528208	0.2578201296845953	0.25447666175139255	0.24410042802357587	0.24360278054043666	0.7303556448208552	0.7516314928387857	0.04410541340014221	0.03449860884449423	1.3942796401237592	0.04130052492455961	0.7347809330218862	-0.06971190977729745	1.394279640123759	1.2997252192190665	0.6827903007442551	0.7358691455507491	1.7869755969870205	1.3206998244727357	0.7413668179851272	3.419925771363966	0.6020357587410351	1.3660467290048621	3.286384662452313	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	-108340.44222773646	-3136.17843910797	0.0	-281.35965622638133	-743.9002872662202
3200000	-112518.77321500638	-3913.0313318305352	-108605.74188317584	0.33742007751651837	2023.2242237581	24.362211684736835	6.200194909758048	0.992363619625535	0.2526853162781755	0.24984086255819593	0.2418543170694229	0.2556195040942057	0.5522168260679792	0.15629601085353909	0.04079071529017568	0.031160322390216766	1.0524692091554166	0.03880576274260497	0.7252178134871667	-0.04880762828415316	1.0524692091554178	0.27634723126205646	0.35378406613297275	0.15252551296895192	0.6868146244230368	0.22223311550106822	0.1389321663843535	0.6650785579512007	0.25985381081287484	0.6924228657505666	0.770436168401336	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0	-108308.60613151862	-3136.17843910797	0.0	-297.13575165721363	-736.4685865222825
3300000	-112549.08512776648	-3908.5034216556937	-108640.58170611078	0.3181278631084545	2023.243515972508	22.960141998142454	6.747707363999165	0.9771679902898031	0.25247805671371637	0.24871348971761426	0.24770282644310151	0.25110562712556767	0.5202392215565173	0.035911686006783045	0.040493972767178664	0.028840518708499845	1.3025698054837231	0.039534679435902415	0.6585736940273742	0.013186126901086299	1.3025698054837196	0.9230414143539827	1.9913574111907382	0.48459222306707006	1.1303975715242	0.834828660069812	1.483570892482014	2.171873838845852	0.16763968060602857	1.2000973789704057	1.4762230764242654	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	7.0	-108345.51491872965	-3136.17843910797	0.0	-295.0667873811354	-721.674594339144
