# BEAST v10.5.0
# Generated Thu Apr 09 12:59:51 CEST 2026 [seed=1775732390055]
# Binome_6.xml
state	location.rates.CHN.KHM	location.rates.CHN.LAO	location.rates.CHN.THA	location.rates.CHN.VNM	location.rates.KHM.LAO	location.rates.KHM.THA	location.rates.KHM.VNM	location.rates.LAO.THA	location.rates.LAO.VNM	location.rates.THA.VNM	location.indicators.CHN.KHM	location.indicators.CHN.LAO	location.indicators.CHN.THA	location.indicators.CHN.VNM	location.indicators.KHM.LAO	location.indicators.KHM.THA	location.indicators.KHM.VNM	location.indicators.LAO.THA	location.indicators.LAO.VNM	location.indicators.THA.VNM	location.nonZeroRates
2400000	0.6689230654126308	0.36177590550244915	1.1346711481285423	1.322711244281024	1.1515158349906054	1.1127676705281428	0.9584456283325589	1.0820447741603743	0.7019798448340105	2.175356103115917	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	9.0
2500000	0.4693528931830997	1.5587286907661702	0.5835655838990206	0.6212255968103693	0.27042621841708797	0.20857041055539072	1.4507017392300126	0.33884836749567143	0.47794235204077123	1.473893371960554	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7.0
2600000	0.6042836284994796	1.7193886642410148	0.3799267806941324	0.9771159261394052	0.5944917303817142	0.9959609435487157	2.4722071193327952	0.517410563846903	0.33114367625261265	1.8558379359846502	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
2700000	0.6351854976662336	0.6872191878738012	1.3753936950769758	1.7880631859732365	1.4712588109068743	1.014865493533836	1.5797696770805476	0.831987523497014	0.9915600322251452	2.3792305345566644	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.0
2800000	0.8404156169581987	1.8144544169426275	0.3165148924652559	1.1581905747094206	0.9087301977255942	0.54559855876537	1.7531317754201274	0.5411172486169369	0.9696434057086454	2.0653082483011604	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7.0
2900000	1.133145117279817	2.2792934181591327	0.32295980356351217	0.8162044121810189	0.9433082935491343	0.7925157224538097	3.1450927363234844	0.35414214255799525	0.7159941639204733	2.7970334464361795	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
3000000	0.37369231930654623	1.820151029904557	1.1026806323355813	1.161850025506979	0.4541827906829575	0.4630300772996561	1.1654311155996726	0.2232223902587302	0.6538137949679822	1.2807658669746576	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7.0
3100000	1.2997252192190665	0.6827903007442551	0.7358691455507491	1.7869755969870205	1.3206998244727357	0.7413668179851272	3.419925771363966	0.6020357587410351	1.3660467290048621	3.286384662452313	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
3200000	0.27634723126205646	0.35378406613297275	0.15252551296895192	0.6868146244230368	0.22223311550106822	0.1389321663843535	0.6650785579512007	0.25985381081287484	0.6924228657505666	0.770436168401336	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
3300000	0.9230414143539827	1.9913574111907382	0.48459222306707006	1.1303975715242	0.834828660069812	1.483570892482014	2.171873838845852	0.16763968060602857	1.2000973789704057	1.4762230764242654	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	7.0
