id,type,length,start_time,end_time,start_name,start_lat,start_lon,end_name,end_lat,end_lon
274,External,0.03612388754908634,2023-07-01 06:33:17,2023-07-14 10:59:59,KHM,13.0,105.0,KHM,13.0,105.0
275,Internal,0.009378479398887224,2023-06-25 13:13:07,2023-06-28 23:22:27,KHM,13.0,105.0,KHM,13.0,105.0
276,Internal,0.005022983042624024,2023-06-28 23:22:27,2023-06-30 19:22:32,KHM,13.0,105.0,KHM,13.0,105.0
277,External,0.04835894552084674,2023-06-30 19:22:32,2023-07-18 11:00:00,KHM,13.0,105.0,KHM,13.0,105.0
278,Internal,0.005154006289478423,2023-06-30 19:22:32,2023-07-02 16:31:29,KHM,13.0,105.0,KHM,13.0,105.0
279,External,0.051424117313440494,2023-07-02 16:31:29,2023-07-21 10:59:59,KHM,13.0,105.0,KHM,13.0,105.0
280,External,0.059643295395740044,2023-07-02 16:31:29,2023-07-24 11:00:00,KHM,13.0,105.0,KHM,13.0,105.0
281,External,0.0670805587004851,2023-06-28 23:22:27,2023-07-23 11:00:00,KHM,13.0,105.0,KHM,13.0,105.0
282,External,0.0838302138250514,2023-06-22 20:38:50,2023-07-23 11:00:00,KHM,13.0,105.0,KHM,13.0,105.0
283,Internal,0.03386216049945537,2023-06-17 03:11:16,2023-06-29 11:49:13,KHM,13.0,105.0,KHM,13.0,105.0
284,External,0.06018032205199296,2023-06-29 11:49:13,2023-07-21 10:59:59,KHM,13.0,105.0,CHN,35.0,105.0
285,External,0.05744059602463557,2023-06-29 11:49:13,2023-07-20 10:59:59,KHM,13.0,105.0,KHM,13.0,105.0
286,Internal,0.018736460764752313,2023-06-08 09:30:18,2023-06-15 05:38:11,KHM,13.0,105.0,KHM,13.0,105.0
287,Internal,0.0067516442106378555,2023-06-15 05:38:11,2023-06-17 16:46:51,KHM,13.0,105.0,KHM,13.0,105.0
288,External,0.08153185225952747,2023-06-17 16:46:51,2023-07-17 11:00:00,KHM,13.0,105.0,KHM,13.0,105.0
289,External,0.056874318012856195,2023-06-17 16:46:51,2023-07-08 11:00:00,KHM,13.0,105.0,KHM,13.0,105.0
290,Internal,0.027453066411517457,2023-06-15 05:38:11,2023-06-25 06:07:31,KHM,13.0,105.0,KHM,13.0,105.0
291,External,0.04165234786669138,2023-06-25 06:07:31,2023-07-10 10:59:59,KHM,13.0,105.0,KHM,13.0,105.0
292,External,0.0772687862230196,2023-06-25 06:07:31,2023-07-23 11:00:00,KHM,13.0,105.0,KHM,13.0,105.0
293,Internal,0.0055296218706755995,2023-04-23 19:29:03,2023-04-25 19:55:25,VNM,16.5,107.5,VNM,16.5,107.5
294,External,0.07569363758358047,2023-04-25 19:55:25,2023-05-23 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
295,Internal,0.0036793984217071696,2023-04-25 19:55:25,2023-04-27 04:09:18,VNM,16.5,107.5,VNM,16.5,107.5
296,Internal,0.008072906613717179,2023-04-27 04:09:18,2023-04-30 02:52:26,VNM,16.5,107.5,VNM,16.5,107.5
297,Internal,0.05582860545667531,2023-04-30 02:52:26,2023-05-20 11:55:57,VNM,16.5,107.5,VNM,16.5,107.5
298,Internal,0.008391500551272413,2023-05-20 11:55:57,2023-05-23 13:26:31,VNM,16.5,107.5,VNM,16.5,107.5
299,Internal,0.027368692649010345,2023-05-23 13:26:31,2023-06-02 13:11:30,VNM,16.5,107.5,VNM,16.5,107.5
300,Internal,0.035928241966588434,2023-06-02 13:11:30,2023-06-15 15:55:23,VNM,16.5,107.5,KHM,13.0,105.0
301,Internal,0.016463796292090938,2023-06-15 15:55:23,2023-06-21 16:08:45,KHM,13.0,105.0,KHM,13.0,105.0
302,External,0.06516597508450682,2023-06-21 16:08:45,2023-07-15 10:59:59,KHM,13.0,105.0,KHM,13.0,105.0
303,External,0.06242624905714943,2023-06-21 16:08:45,2023-07-14 10:59:59,KHM,13.0,105.0,KHM,13.0,105.0
304,Internal,0.010389540271412909,2023-06-15 15:55:23,2023-06-19 10:56:08,KHM,13.0,105.0,KHM,13.0,105.0
305,Internal,0.02582696957358256,2023-06-19 10:56:08,2023-06-28 21:10:47,KHM,13.0,105.0,KHM,13.0,105.0
306,External,0.06185161769597401,2023-06-28 21:10:47,2023-07-21 10:59:59,KHM,13.0,105.0,KHM,13.0,105.0
307,External,0.06733106975091617,2023-06-28 21:10:47,2023-07-23 11:00:00,KHM,13.0,105.0,KHM,13.0,105.0
308,External,0.046582696858740946,2023-06-19 10:56:08,2023-07-06 11:00:00,KHM,13.0,105.0,KHM,13.0,105.0
309,Internal,0.007944409856529888,2023-06-02 13:11:30,2023-06-05 10:47:05,VNM,16.5,107.5,VNM,16.5,107.5
310,External,0.13701086376068497,2023-06-05 10:47:05,2023-07-25 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
311,Internal,0.01141624632140903,2023-06-05 10:47:05,2023-06-09 14:47:28,VNM,16.5,107.5,VNM,16.5,107.5
312,Internal,0.002477293441008152,2023-06-09 14:47:28,2023-06-10 12:29:32,VNM,16.5,107.5,VNM,16.5,107.5
