ID	collection_date	location
H-126	2023-07-17	THA
H-127	2023-07-15	KHM
H-128	2023-07-14	KHM
H-129	2023-07-14	VNM
H-130	2023-07-15	VNM
H-131	2023-07-14	VNM
H-132	2023-07-14	KHM
H-133	2023-07-12	VNM
H-134	2023-07-14	VNM
H-135	2023-07-14	KHM
H-136	2023-07-14	VNM
H-137	2023-07-14	VNM
H-138	2023-07-17	CHN
H-139	2023-07-15	KHM
H-140	2023-07-14	KHM
H-141	2023-07-17	VNM
H-142	2023-07-14	VNM
H-143	2023-07-15	VNM
M-392	2023-06-22	VNM
M-393	2023-06-26	KHM
M-394	2023-07-12	VNM
M-395	2023-06-26	VNM
M-396	2023-06-20	VNM
M-397	2023-06-21	VNM
M-398	2023-07-14	VNM
M-399	2023-06-25	VNM
M-400	2023-07-09	KHM
M-401	2023-06-20	VNM
M-402	2023-06-20	VNM
M-403	2023-06-26	VNM
M-404	2023-06-20	VNM
M-405	2023-07-06	VNM
M-406	2023-06-26	VNM
M-407	2023-06-22	KHM
M-408	2023-06-25	VNM
M-409	2023-06-21	VNM
M-410	2023-06-21	VNM
M-411	2023-06-22	VNM
M-412	2023-06-26	VNM
M-413	2023-06-25	KHM
M-414	2023-06-23	KHM
M-415	2023-06-20	KHM
M-416	2023-06-25	KHM
M-417	2023-06-30	KHM
M-418	2023-06-22	KHM
M-419	2023-06-22	VNM
M-420	2023-06-21	VNM
M-421	2023-06-20	VNM
M-422	2023-07-02	KHM
M-423	2023-07-02	VNM
M-424	2023-06-26	VNM
M-425	2023-06-26	KHM
M-426	2023-06-26	KHM
H-144	2023-07-14	KHM
H-145	2023-07-14	CHN
H-146	2023-07-14	THA
H-147	2023-07-15	THA
H-148	2023-07-17	VNM
H-149	2023-07-17	KHM
H-150	2023-07-18	VNM
H-151	2023-07-15	VNM
H-152	2023-07-14	VNM
H-153	2023-07-15	VNM
M-427	2023-07-06	KHM
M-428	2023-06-21	KHM
M-429	2023-06-25	VNM
M-430	2023-07-01	VNM
M-431	2023-06-23	KHM
M-432	2023-06-27	KHM
M-433	2023-06-23	VNM
M-434	2023-06-21	VNM
M-435	2023-07-04	VNM
M-436	2023-06-30	VNM
M-437	2023-06-21	VNM
M-438	2023-06-22	VNM
M-439	2023-06-22	VNM
M-440	2023-06-25	KHM
M-441	2023-06-21	KHM
M-442	2023-06-26	VNM
M-443	2023-06-23	VNM
M-444	2023-06-21	VNM
M-445	2023-06-21	KHM
M-446	2023-06-26	VNM
M-447	2023-06-23	VNM
M-448	2023-06-26	KHM
M-449	2023-06-28	KHM
M-450	2023-07-02	KHM
M-451	2023-06-23	VNM
M-452	2023-06-26	VNM
M-453	2023-06-22	VNM
M-454	2023-06-27	VNM
M-455	2023-06-23	VNM
M-456	2023-06-26	VNM
M-457	2023-06-21	VNM
M-458	2023-06-21	VNM
M-459	2023-06-22	VNM
M-460	2023-06-30	VNM
M-461	2023-06-21	VNM
M-462	2023-06-21	VNM
M-463	2023-06-22	VNM
M-464	2023-06-25	VNM
M-465	2023-06-22	VNM
M-466	2023-06-22	VNM
M-467	2023-06-21	VNM
M-468	2023-06-28	VNM
M-469	2023-06-26	KHM
M-470	2023-06-21	KHM
M-471	2023-06-23	KHM
H-154	2023-07-15	VNM
H-155	2023-07-14	VNM
H-156	2023-07-14	THA
H-157	2023-07-14	VNM
H-158	2023-07-14	VNM
H-159	2023-07-19	VNM
H-160	2023-07-18	VNM
H-161	2023-07-17	VNM
H-162	2023-07-15	KHM
H-163	2023-07-19	KHM
H-164	2023-07-14	KHM
H-165	2023-07-17	KHM
H-166	2023-07-14	VNM
H-167	2023-07-17	KHM
H-168	2023-07-18	VNM
M-472	2023-06-25	KHM
M-473	2023-06-28	KHM
M-474	2023-06-23	VNM
M-475	2023-06-28	KHM
M-476	2023-06-25	KHM
M-477	2023-06-26	VNM
M-478	2023-06-22	VNM
M-479	2023-06-26	VNM
M-480	2023-06-22	VNM
M-481	2023-07-02	VNM
M-482	2023-06-26	VNM
M-483	2023-07-14	VNM
M-484	2023-07-09	KHM
M-485	2023-07-07	VNM
M-486	2023-06-21	VNM
M-487	2023-06-26	VNM
M-488	2023-07-14	VNM
M-489	2023-06-23	VNM
M-490	2023-06-21	VNM
M-491	2023-06-25	KHM
M-492	2023-06-26	VNM
M-493	2023-06-30	VNM
M-494	2023-07-13	VNM
M-495	2023-06-22	VNM
M-496	2023-06-21	VNM
M-497	2023-06-25	KHM
M-498	2023-06-21	KHM
M-499	2023-06-21	KHM
M-500	2023-06-21	CHN
M-501	2023-06-28	VNM
M-502	2023-06-26	VNM
M-503	2023-06-23	VNM
M-504	2023-06-22	VNM
M-505	2023-07-09	VNM
M-506	2023-06-25	KHM
M-507	2023-06-27	KHM
M-508	2023-06-22	KHM
M-509	2023-06-23	VNM
M-510	2023-06-21	KHM
M-511	2023-06-22	VNM
M-512	2023-06-22	VNM
M-513	2023-07-06	KHM
M-514	2023-07-09	KHM
M-515	2023-06-26	KHM
M-516	2023-07-01	KHM
H-169	2023-07-19	VNM
H-170	2023-07-18	KHM
H-171	2023-07-19	VNM
H-172	2023-07-17	KHM
H-173	2023-07-18	LAO
H-174	2023-07-17	VNM
H-175	2023-07-19	THA
H-176	2023-07-17	VNM
H-177	2023-07-19	VNM
H-178	2023-07-19	VNM
H-179	2023-07-20	VNM
H-180	2023-07-19	VNM
H-181	2023-07-19	VNM
H-182	2023-07-17	VNM
H-183	2023-07-15	KHM
H-184	2023-07-18	KHM
H-185	2023-07-19	KHM
H-186	2023-07-18	VNM
M-517	2023-06-22	VNM
M-518	2023-06-23	VNM
M-519	2023-07-08	VNM
M-520	2023-06-27	VNM
M-521	2023-07-25	VNM
M-522	2023-06-30	VNM
M-523	2023-06-25	VNM
M-524	2023-06-23	VNM
M-525	2023-06-25	KHM
M-526	2023-06-26	KHM
M-527	2023-06-28	KHM
M-528	2023-06-22	VNM
M-529	2023-06-30	VNM
